notif_id,ts,audience,developer_id,kind,title,body,read
NTF-0015,2026-06-15T06:00:00.000Z,developer,DEV-003,approval,Participation approved — Dubai Property Festival 2026,Your request REQ-0001 was approved. Asset deadlines are now visible in your workspace.,yes
NTF-0027,2026-06-15T04:00:00.000Z,all,,info,Dubai Real Estate Week — partner invitations open,Registration closes 2026-05-24. 20 partner slots available.,no
NTF-0001,2026-06-15T02:00:00.000Z,dld,DEV-005,upload,Meraas uploaded materials,"1 of 3 required documents received for ""Dubai Real Estate Week"".",no
NTF-0002,2026-06-14T23:00:00.000Z,dld,DEV-002,upload,Nakheel uploaded materials,"0 of 2 required documents received for ""Dubai Real Estate Week"".",no
NTF-0016,2026-06-14T12:00:00.000Z,developer,DEV-023,approval,Participation approved — Dubai Property Festival 2026,Your request REQ-0002 was approved. Asset deadlines are now visible in your workspace.,yes
NTF-0003,2026-06-14T12:00:00.000Z,dld,DEV-009,upload,Danube Properties uploaded materials,"1 of 5 required documents received for ""Dubai Real Estate Week"".",no
NTF-0004,2026-06-14T07:00:00.000Z,dld,DEV-014,upload,Wasl Properties uploaded materials,"2 of 3 required documents received for ""Dubai Real Estate Week"".",no
NTF-0017,2026-06-14T06:00:00.000Z,developer,DEV-005,approval,Participation approved — Dubai Property Festival 2026,Your request REQ-0003 was approved. Asset deadlines are now visible in your workspace.,no
NTF-0028,2026-06-14T04:00:00.000Z,all,,info,Branded Residences Showcase — partner invitations open,Registration closes 2026-05-27. 10 partner slots available.,yes
NTF-0005,2026-06-14T01:00:00.000Z,dld,DEV-014,upload,Wasl Properties uploaded materials,"2 of 3 required documents received for ""Branded Residences Showcase"".",no
NTF-0018,2026-06-13T19:00:00.000Z,developer,DEV-019,approval,Participation approved — Dubai Property Festival 2026,Your request REQ-0004 was approved. Asset deadlines are now visible in your workspace.,yes
NTF-0006,2026-06-13T15:00:00.000Z,dld,DEV-008,upload,Azizi Developments uploaded materials,"3 of 5 required documents received for ""PropTech Innovation Challenge"".",yes
NTF-0029,2026-06-13T12:00:00.000Z,all,,info,PropTech Innovation Challenge — partner invitations open,Registration closes 2026-05-09. 8 partner slots available.,no
NTF-0007,2026-06-13T10:00:00.000Z,dld,DEV-026,upload,LEOS Developments uploaded materials,"1 of 2 required documents received for ""Sustainable Communities Awards"".",no
NTF-0019,2026-06-13T08:00:00.000Z,developer,DEV-008,approval,Participation approved — Dubai Property Festival 2026,Your request REQ-0005 was approved. Asset deadlines are now visible in your workspace.,yes
NTF-0008,2026-06-13T06:00:00.000Z,dld,DEV-016,upload,Binghatti Developers uploaded materials,"2 of 5 required documents received for ""Sustainable Communities Awards"".",no
NTF-0020,2026-06-12T19:00:00.000Z,developer,DEV-024,approval,Participation approved — Dubai Property Festival 2026,Your request REQ-0006 was approved. Asset deadlines are now visible in your workspace.,yes
