request_id,campaign_id,developer_id,submitted_date,status,approval_days,documents_required,documents_uploaded,commitment_aed,channel,leads_generated,media_mentions
REQ-0001,CMP-001,DEV-003,2024-11-01,approved,1.4,2,1,1300000,platform,796,8
REQ-0002,CMP-001,DEV-023,2024-11-18,approved,4.8,6,5,1125000,platform,1324,31
REQ-0003,CMP-001,DEV-005,2024-11-05,approved,2.4,4,3,250000,platform,703,24
REQ-0004,CMP-001,DEV-019,2024-11-12,approved,1.8,5,5,175000,platform,215,40
REQ-0005,CMP-001,DEV-008,2024-11-01,approved,2.4,3,2,1175000,platform,664,11
REQ-0006,CMP-001,DEV-024,2024-11-04,approved,1.6,2,1,1075000,email,310,39
REQ-0007,CMP-001,DEV-027,2024-11-09,approved,6.3,3,1,1100000,platform,623,42
REQ-0008,CMP-001,DEV-021,2024-10-25,approved,2.6,2,2,1350000,email,726,15
REQ-0009,CMP-001,DEV-001,2024-10-24,approved,3.9,3,1,1175000,platform,1381,8
REQ-0010,CMP-001,DEV-020,2024-11-10,approved,3.9,4,4,250000,email,749,43
REQ-0011,CMP-002,DEV-002,2025-08-26,approved,5.4,4,4,100000,platform,755,18
REQ-0012,CMP-002,DEV-001,2025-08-18,approved,3.2,4,4,1075000,platform,749,43
REQ-0013,CMP-002,DEV-014,2025-08-29,approved,3.9,5,4,1075000,platform,419,37
REQ-0014,CMP-002,DEV-028,2025-08-14,approved,1,3,1,1175000,platform,1104,25
REQ-0015,CMP-002,DEV-006,2025-08-23,approved,1.8,5,3,1425000,platform,99,42
REQ-0016,CMP-002,DEV-021,2025-07-27,approved,1.6,6,5,1350000,platform,1370,13
REQ-0017,CMP-002,DEV-015,2025-07-24,rejected,5.3,2,1,375000,platform,0,0
REQ-0018,CMP-002,DEV-026,2025-08-12,approved,2.7,6,5,1100000,platform,195,9
REQ-0019,CMP-002,DEV-023,2025-07-23,approved,5.1,2,2,75000,platform,414,21
REQ-0020,CMP-002,DEV-027,2025-08-26,approved,5.6,5,5,450000,platform,560,12
REQ-0021,CMP-002,DEV-013,2025-08-22,approved,4.7,2,2,1475000,platform,222,19
REQ-0022,CMP-002,DEV-004,2025-08-13,approved,5.4,5,3,975000,platform,1017,7
REQ-0023,CMP-002,DEV-020,2025-08-04,approved,0.8,2,2,1500000,email,94,36
REQ-0024,CMP-002,DEV-003,2025-07-24,approved,5.7,2,1,1350000,platform,544,10
REQ-0025,CMP-002,DEV-008,2025-07-29,approved,1.9,6,4,625000,platform,122,37
REQ-0026,CMP-003,DEV-028,2024-06-17,rejected,2.2,6,5,750000,platform,0,0
REQ-0027,CMP-003,DEV-026,2024-06-08,approved,5.3,3,1,900000,platform,667,3
REQ-0028,CMP-003,DEV-022,2024-06-02,approved,2.3,4,2,350000,platform,683,3
REQ-0029,CMP-004,DEV-021,2025-03-25,approved,6.3,6,4,50000,platform,441,23
REQ-0030,CMP-004,DEV-020,2025-03-23,approved,4.2,2,1,100000,platform,949,7
REQ-0031,CMP-004,DEV-013,2025-04-27,approved,1.2,4,4,1300000,platform,1357,20
REQ-0032,CMP-004,DEV-016,2025-04-13,approved,2.2,2,2,1100000,platform,374,13
REQ-0033,CMP-004,DEV-015,2025-03-31,rejected,5,2,2,1450000,platform,0,0
REQ-0034,CMP-004,DEV-010,2025-04-28,approved,5.8,3,3,550000,platform,909,44
REQ-0035,CMP-004,DEV-008,2025-04-08,approved,2.3,6,4,1175000,platform,292,18
REQ-0036,CMP-004,DEV-007,2025-04-19,approved,6.2,2,2,400000,platform,556,31
REQ-0037,CMP-004,DEV-009,2025-04-21,approved,1.6,3,1,450000,platform,1152,25
REQ-0038,CMP-004,DEV-001,2025-03-27,approved,3.6,5,5,950000,platform,358,37
REQ-0039,CMP-004,DEV-024,2025-04-16,approved,6.2,5,3,725000,platform,865,7
REQ-0040,CMP-004,DEV-027,2025-03-24,approved,3.4,5,4,250000,platform,1269,34
REQ-0041,CMP-004,DEV-006,2025-04-24,approved,4.9,6,5,200000,platform,857,45
REQ-0042,CMP-005,DEV-013,2025-09-02,rejected,5.8,4,3,775000,platform,0,0
REQ-0043,CMP-005,DEV-018,2025-09-12,approved,5.9,3,1,100000,platform,1066,18
REQ-0044,CMP-005,DEV-027,2025-09-18,rejected,2.7,5,3,1500000,platform,0,0
REQ-0045,CMP-005,DEV-020,2025-09-29,approved,5.7,6,6,50000,platform,145,46
REQ-0046,CMP-005,DEV-015,2025-09-26,approved,2.3,6,5,1050000,platform,259,3
REQ-0047,CMP-005,DEV-006,2025-09-27,approved,3.5,3,1,600000,platform,898,5
REQ-0048,CMP-005,DEV-024,2025-08-31,approved,5.2,3,1,500000,platform,875,5
REQ-0049,CMP-005,DEV-016,2025-09-30,approved,4.9,2,1,1175000,platform,1215,17
REQ-0050,CMP-005,DEV-014,2025-10-01,approved,3,5,4,75000,platform,1185,17
REQ-0051,CMP-005,DEV-004,2025-09-28,approved,3.1,6,5,1075000,platform,194,28
REQ-0052,CMP-005,DEV-011,2025-09-24,approved,6.1,4,4,1050000,platform,1397,3
REQ-0053,CMP-005,DEV-010,2025-09-11,approved,3.8,5,5,850000,email,705,26
REQ-0054,CMP-005,DEV-002,2025-09-07,approved,5,3,2,625000,email,563,19
REQ-0055,CMP-005,DEV-008,2025-09-08,approved,2.2,4,3,1225000,platform,255,34
REQ-0056,CMP-005,DEV-021,2025-10-01,approved,3.7,5,4,1050000,platform,134,8
REQ-0057,CMP-005,DEV-028,2025-10-07,approved,0.9,2,2,200000,platform,1291,40
REQ-0058,CMP-006,DEV-015,2025-09-26,approved,3.7,5,3,975000,platform,1358,2
REQ-0059,CMP-006,DEV-009,2025-09-29,approved,5.2,5,5,1000000,platform,72,41
REQ-0060,CMP-006,DEV-014,2025-10-21,approved,2.3,4,4,625000,platform,1366,8
REQ-0061,CMP-006,DEV-026,2025-10-08,approved,3.1,4,2,1125000,platform,1357,25
REQ-0062,CMP-006,DEV-008,2025-10-21,rejected,4.5,3,3,500000,platform,0,0
REQ-0063,CMP-006,DEV-028,2025-10-24,approved,4.1,6,6,1000000,platform,909,25
REQ-0064,CMP-006,DEV-013,2025-10-06,approved,5.5,3,1,725000,platform,428,41
REQ-0065,CMP-006,DEV-024,2025-10-07,approved,5.1,4,4,1000000,platform,966,5
