participation_id,event_id,developer_id,status,booth_sqm,stand_number,staff_count,documents_required,documents_uploaded,cost_aed,leads_captured,meetings_held
EVP-0001,EVT-001,DEV-018,confirmed,144,A57,15,2,1,154080,224,80
EVP-0002,EVT-001,DEV-005,confirmed,99,B88,6,5,4,180477,536,28
EVP-0003,EVT-001,DEV-008,confirmed,144,B58,2,3,2,172800,112,84
EVP-0004,EVT-001,DEV-004,confirmed,117,B40,17,4,2,236925,337,11
EVP-0005,EVT-002,DEV-014,confirmed,180,C28,16,5,3,171540,657,26
EVP-0006,EVT-002,DEV-024,confirmed,117,C35,6,5,3,277407,329,10
EVP-0007,EVT-002,DEV-008,confirmed,153,D22,4,3,3,286722,76,29
EVP-0008,EVT-002,DEV-011,confirmed,108,C50,13,4,4,196128,715,55
EVP-0009,EVT-002,DEV-020,confirmed,18,C57,4,3,2,31662,176,85
EVP-0010,EVT-002,DEV-010,confirmed,27,A75,15,4,4,26028,444,4
EVP-0011,EVT-002,DEV-007,confirmed,108,B67,5,2,2,269352,459,69
EVP-0012,EVT-002,DEV-001,confirmed,117,B65,6,5,3,253656,465,62
EVP-0013,EVT-002,DEV-002,confirmed,45,C62,18,2,0,83565,99,27
EVP-0014,EVT-003,DEV-001,withdrawn,0,,2,5,4,47000,0,0
EVP-0015,EVT-003,DEV-002,confirmed,0,,4,2,0,53000,693,74
EVP-0016,EVT-003,DEV-006,confirmed,0,,1,5,3,22000,764,51
EVP-0017,EVT-003,DEV-009,confirmed,0,,4,5,3,72000,717,21
EVP-0018,EVT-003,DEV-003,withdrawn,0,,5,4,2,86000,0,0
EVP-0019,EVT-003,DEV-014,withdrawn,0,,3,5,3,57000,0,0
EVP-0020,EVT-003,DEV-021,withdrawn,0,,5,5,3,70000,0,0
EVP-0021,EVT-003,DEV-023,confirmed,0,,4,3,1,38000,74,28
EVP-0022,EVT-003,DEV-015,confirmed,0,,1,4,2,86000,736,45
EVP-0023,EVT-003,DEV-022,confirmed,0,,3,4,3,16000,714,21
EVP-0024,EVT-003,DEV-004,withdrawn,0,,2,2,2,78000,0,0
EVP-0025,EVT-003,DEV-005,confirmed,0,,4,5,5,73000,75,84
EVP-0026,EVT-003,DEV-024,withdrawn,0,,3,5,5,61000,0,0
EVP-0027,EVT-004,DEV-013,confirmed,0,,4,4,4,30000,486,28
EVP-0028,EVT-004,DEV-028,confirmed,0,,5,5,5,18000,310,22
EVP-0029,EVT-004,DEV-009,withdrawn,0,,3,4,3,39000,0,0
EVP-0030,EVT-004,DEV-014,confirmed,0,,5,5,3,83000,256,51
EVP-0031,EVT-004,DEV-002,confirmed,0,,1,4,2,63000,622,8
EVP-0032,EVT-004,DEV-005,confirmed,0,,5,2,0,46000,279,80
EVP-0033,EVT-004,DEV-003,confirmed,0,,3,4,3,18000,263,34
EVP-0034,EVT-004,DEV-007,withdrawn,0,,2,4,2,52000,0,0
EVP-0035,EVT-004,DEV-027,confirmed,0,,1,4,2,80000,230,54
EVP-0036,EVT-004,DEV-001,confirmed,0,,5,5,3,34000,327,32
EVP-0037,EVT-004,DEV-015,confirmed,0,,4,2,1,30000,302,12
EVP-0038,EVT-004,DEV-010,confirmed,0,,5,2,0,23000,691,87
EVP-0039,EVT-005,DEV-015,confirmed,36,B34,18,5,5,78696,225,82
EVP-0040,EVT-005,DEV-023,confirmed,189,A57,8,2,0,263277,323,49
EVP-0041,EVT-005,DEV-026,confirmed,90,D45,5,4,2,216720,150,79
EVP-0042,EVT-005,DEV-027,confirmed,162,C64,10,4,3,325620,196,65
EVP-0043,EVT-005,DEV-009,confirmed,36,D77,5,2,1,41544,651,90
EVP-0044,EVT-005,DEV-004,confirmed,180,B12,11,5,3,378000,630,46
EVP-0045,EVT-005,DEV-001,confirmed,162,D73,5,4,3,351378,697,63
EVP-0046,EVT-005,DEV-020,confirmed,81,A80,13,2,2,202662,527,89
EVP-0047,EVT-005,DEV-014,confirmed,90,A10,2,3,3,154350,601,77
EVP-0048,EVT-005,DEV-021,confirmed,135,B32,8,4,3,333315,439,73
EVP-0049,EVT-005,DEV-013,confirmed,63,D32,13,4,2,68922,607,16
EVP-0050,EVT-005,DEV-006,confirmed,189,D61,8,2,1,396900,173,71
EVP-0051,EVT-005,DEV-019,confirmed,108,D14,14,4,3,187920,661,65
EVP-0052,EVT-005,DEV-016,confirmed,54,D19,9,2,0,137646,67,16
EVP-0053,EVT-006,DEV-006,confirmed,0,,4,5,5,61000,532,56
EVP-0054,EVT-006,DEV-007,confirmed,0,,5,3,3,66000,147,33
EVP-0055,EVT-006,DEV-014,withdrawn,0,,1,3,1,70000,0,0
EVP-0056,EVT-006,DEV-011,confirmed,0,,4,5,5,19000,371,68
EVP-0057,EVT-006,DEV-024,confirmed,0,,5,5,3,73000,321,45
EVP-0058,EVT-006,DEV-023,confirmed,0,,5,4,4,11000,599,51
EVP-0059,EVT-006,DEV-020,confirmed,0,,2,2,1,68000,92,67
EVP-0060,EVT-006,DEV-019,confirmed,0,,2,2,1,17000,338,86
EVP-0061,EVT-006,DEV-022,confirmed,0,,4,5,4,33000,313,42
EVP-0062,EVT-006,DEV-021,confirmed,0,,5,2,1,70000,691,10
EVP-0063,EVT-006,DEV-009,confirmed,0,,3,2,1,81000,463,13
EVP-0064,EVT-006,DEV-027,confirmed,0,,1,4,2,70000,649,70
EVP-0065,EVT-006,DEV-013,confirmed,0,,4,2,2,41000,94,85
EVP-0066,EVT-006,DEV-010,confirmed,0,,2,2,0,90000,51,25
EVP-0067,EVT-006,DEV-004,withdrawn,0,,4,3,3,25000,0,0
EVP-0068,EVT-006,DEV-016,confirmed,0,,4,2,0,59000,217,37
EVP-0069,EVT-006,DEV-008,confirmed,0,,2,2,2,35000,664,28
EVP-0070,EVT-006,DEV-026,confirmed,0,,4,2,0,74000,478,84
EVP-0071,EVT-007,DEV-019,confirmed,0,,2,4,2,37000,0,0
EVP-0072,EVT-007,DEV-022,invited,0,,2,5,0,42000,0,0
EVP-0073,EVT-007,DEV-023,confirmed,0,,4,4,4,90000,0,0
EVP-0074,EVT-007,DEV-020,pending,0,,5,4,3,60000,0,0
EVP-0075,EVT-007,DEV-010,invited,0,,4,5,0,13000,0,0
EVP-0076,EVT-007,DEV-024,confirmed,0,,1,4,4,71000,0,0
EVP-0077,EVT-007,DEV-001,confirmed,0,,5,5,3,35000,0,0
EVP-0078,EVT-008,DEV-014,invited,0,,1,4,0,65000,0,0
EVP-0079,EVT-008,DEV-023,pending,0,,1,5,4,83000,0,0
EVP-0080,EVT-008,DEV-002,confirmed,0,,1,3,3,33000,0,0
EVP-0081,EVT-008,DEV-005,confirmed,0,,5,3,2,22000,0,0
EVP-0082,EVT-008,DEV-003,confirmed,0,,3,2,0,49000,0,0
EVP-0083,EVT-008,DEV-026,confirmed,0,,3,5,3,33000,0,0
EVP-0084,EVT-008,DEV-012,confirmed,0,,4,3,3,83000,0,0
EVP-0085,EVT-008,DEV-021,confirmed,0,,2,5,3,80000,0,0
EVP-0086,EVT-008,DEV-013,confirmed,0,,4,2,0,23000,0,0
EVP-0087,EVT-009,DEV-027,pending,0,,3,2,0,28000,0,0
EVP-0088,EVT-009,DEV-020,pending,0,,1,5,3,48000,0,0
EVP-0089,EVT-009,DEV-003,confirmed,0,,5,4,3,31000,0,0
EVP-0090,EVT-009,DEV-022,confirmed,0,,1,3,1,40000,0,0
EVP-0091,EVT-009,DEV-019,confirmed,0,,3,4,4,51000,0,0
EVP-0092,EVT-009,DEV-004,invited,0,,3,2,0,40000,0,0
EVP-0093,EVT-009,DEV-011,confirmed,0,,3,4,3,11000,0,0
EVP-0094,EVT-009,DEV-007,confirmed,0,,3,3,3,87000,0,0
EVP-0095,EVT-009,DEV-016,confirmed,0,,4,4,2,50000,0,0
EVP-0096,EVT-010,DEV-022,confirmed,54,A83,16,4,4,80838,0,0
EVP-0097,EVT-010,DEV-001,pending,180,B74,12,4,2,428400,0,0
EVP-0098,EVT-010,DEV-002,confirmed,216,B39,2,2,2,476496,0,0
EVP-0099,EVT-010,DEV-021,confirmed,81,B84,16,2,0,109512,0,0
EVP-0100,EVT-010,DEV-014,confirmed,126,B35,3,4,4,139230,0,0
EVP-0101,EVT-010,DEV-010,pending,153,D70,13,5,4,215118,0,0
EVP-0102,EVT-010,DEV-027,pending,90,A62,12,3,2,227700,0,0
EVP-0103,EVT-010,DEV-024,pending,36,C27,7,5,3,65844,0,0
EVP-0104,EVT-010,DEV-003,pending,117,D65,15,3,1,222066,0,0
EVP-0105,EVT-010,DEV-004,invited,135,C50,16,4,0,175365,0,0
EVP-0106,EVT-010,DEV-026,pending,162,B13,2,4,4,418122,0,0
EVP-0107,EVT-010,DEV-008,confirmed,27,D20,3,4,3,65394,0,0
EVP-0108,EVT-011,DEV-004,confirmed,0,,5,2,1,22000,0,0
EVP-0109,EVT-011,DEV-002,confirmed,0,,1,3,3,84000,0,0
EVP-0110,EVT-011,DEV-024,pending,0,,1,5,5,42000,0,0
EVP-0111,EVT-011,DEV-001,confirmed,0,,3,2,0,78000,0,0
EVP-0112,EVT-011,DEV-020,confirmed,0,,1,2,2,18000,0,0
EVP-0113,EVT-011,DEV-018,confirmed,0,,1,2,0,29000,0,0
EVP-0114,EVT-011,DEV-007,confirmed,0,,5,4,2,61000,0,0
EVP-0115,EVT-011,DEV-023,confirmed,0,,1,3,2,72000,0,0
EVP-0116,EVT-011,DEV-028,pending,0,,3,3,3,86000,0,0
EVP-0117,EVT-012,DEV-024,invited,18,C74,7,2,0,20052,0,0
EVP-0118,EVT-012,DEV-021,confirmed,180,A79,8,5,5,347400,0,0
EVP-0119,EVT-012,DEV-005,confirmed,171,C25,17,4,4,232047,0,0
EVP-0120,EVT-012,DEV-016,confirmed,72,D66,4,5,3,184536,0,0
EVP-0121,EVT-012,DEV-026,confirmed,126,A64,14,4,4,214830,0,0
EVP-0122,EVT-012,DEV-006,confirmed,135,D34,10,5,5,233820,0,0
EVP-0123,EVT-012,DEV-011,confirmed,81,D19,16,2,2,194076,0,0
EVP-0124,EVT-012,DEV-028,confirmed,90,A54,16,5,3,209250,0,0
EVP-0125,EVT-012,DEV-023,invited,36,A11,16,5,0,43344,0,0
EVP-0126,EVT-012,DEV-002,pending,216,D29,2,3,3,320760,0,0
EVP-0127,EVT-012,DEV-007,confirmed,99,C81,18,2,0,145728,0,0
EVP-0128,EVT-012,DEV-020,confirmed,189,D72,12,5,5,444717,0,0
EVP-0129,EVT-012,DEV-004,confirmed,171,B13,3,2,1,319599,0,0
EVP-0130,EVT-012,DEV-009,pending,36,A81,12,4,2,67608,0,0
EVP-0131,EVT-012,DEV-022,confirmed,144,B45,8,5,5,189504,0,0
EVP-0132,EVT-012,DEV-008,confirmed,117,C74,13,2,2,192231,0,0
EVP-0133,EVT-012,DEV-003,confirmed,162,B83,16,4,3,282204,0,0
EVP-0134,EVT-012,DEV-027,confirmed,153,C56,5,3,1,348687,0,0
EVP-0135,EVT-012,DEV-015,invited,144,D43,10,2,0,306576,0,0
