project_id,developer_id,name,district,lng,lat,type,status,floors,height_m,units,value_aed,launch_date,completion_date,sustainability,sold_pct
PRJ-0001,DEV-001,Corniche Residences,Downtown Dubai,55.27409,25.19477,residential,under_construction,75,255,300,799200000,2024-01-25,2025-11-23,Estidama 3P,100
PRJ-0002,DEV-001,Amara Bay,Downtown Dubai,55.26464,25.22144,commercial,planning,73,307,53,196206000,2026-03-08,2028-08-24,Estidama 2P,0
PRJ-0003,DEV-001,Corniche Heights,Downtown Dubai,55.27702,25.17238,retail,planning,56,190,224,639968000,2022-09-21,2026-02-10,Estidama 2P,0
PRJ-0004,DEV-001,Meridian Plaza,Downtown Dubai,55.29161,25.19879,mixed-use,under_construction,78,265,468,660348000,2023-01-21,2026-10-27,None,88
PRJ-0005,DEV-001,Cielo Bay,Downtown Dubai,55.29984,25.18712,retail,completed,72,245,720,648720000,2021-12-04,2025-04-07,None,21
PRJ-0006,DEV-001,Oasis Residences,Downtown Dubai,55.27835,25.20261,mixed-use,under_construction,22,75,154,116424000,2024-10-06,2028-05-22,Estidama 3P,77
PRJ-0007,DEV-001,Cielo Gardens,Downtown Dubai,55.27567,25.17893,hospitality,under_construction,61,207,305,673745000,2025-10-08,2029-06-12,LEED Gold,32
PRJ-0008,DEV-001,Lumina Villas,Downtown Dubai,55.25674,25.17545,retail,planning,26,88,156,521976000,2022-07-06,2025-08-18,None,0
PRJ-0009,DEV-002,Onyx Heights,Palm Jumeirah,55.14307,25.13129,mixed-use,planning,73,248,657,1988739000,2023-06-04,2026-05-16,Estidama 3P,0
PRJ-0010,DEV-002,Elara Gardens,Palm Jumeirah,55.13562,25.12947,hospitality,planning,74,252,888,1737816000,2022-04-08,2025-11-09,LEED Platinum,0
PRJ-0011,DEV-002,Azure Park,Palm Jumeirah,55.14648,25.13025,commercial,completed,71,298,199,558792000,2022-03-10,2026-03-20,Estidama 3P,60
PRJ-0012,DEV-002,Solara Terraces,Palm Jumeirah,55.13682,25.12421,hospitality,completed,72,245,432,1509408000,2024-05-24,2027-06-25,LEED Silver,76
PRJ-0013,DEV-002,Elara Grove,Palm Jumeirah,55.11638,25.12677,commercial,completed,65,273,42,84252000,2023-02-26,2024-11-18,Estidama 2P,97
PRJ-0014,DEV-002,Solara Plaza,Palm Jumeirah,55.11567,25.11848,residential,completed,70,238,630,1949850000,2023-02-14,2026-09-08,Estidama 3P,98
PRJ-0015,DEV-002,Noor Villas,Palm Jumeirah,55.15165,25.09441,mixed-use,under_construction,44,150,220,555060000,2022-03-19,2026-03-01,LEED Gold,61
PRJ-0016,DEV-003,Lumina Bay,Business Bay,55.2513,25.21119,retail,handover,59,201,295,484980000,2022-03-10,2024-08-08,Estidama 2P,42
PRJ-0017,DEV-003,Noor Towers,Business Bay,55.2447,25.19041,residential,handover,63,214,315,329805000,2023-02-09,2026-08-12,LEED Gold,24
PRJ-0018,DEV-003,Terra Villas,Business Bay,55.24363,25.16141,hospitality,under_construction,56,190,336,1266384000,2023-08-13,2026-08-18,LEED Silver,76
PRJ-0019,DEV-003,Rixos Villas,Business Bay,55.27471,25.18849,retail,under_construction,25,85,275,828025000,2024-08-24,2027-02-17,None,98
PRJ-0020,DEV-003,Sereno Boulevard,Business Bay,55.27282,25.16247,residential,under_construction,61,207,610,1838540000,2024-09-22,2026-05-20,None,37
PRJ-0021,DEV-003,Azure Villas,Business Bay,55.23565,25.21135,hospitality,completed,70,238,560,992320000,2024-11-11,2028-11-04,LEED Gold,31
PRJ-0022,DEV-003,Zenith Court,Business Bay,55.26836,25.18205,residential,planning,23,78,161,564144000,2022-04-29,2026-01-02,LEED Silver,0
PRJ-0023,DEV-004,Terra Court,JBR,55.12429,25.05599,hospitality,handover,33,112,231,319473000,2025-01-28,2028-06-08,Estidama 2P,26
PRJ-0024,DEV-004,Corniche Plaza,JBR,55.15044,25.07006,retail,completed,70,238,700,1213100000,2024-04-28,2026-03-04,LEED Gold,49
PRJ-0025,DEV-004,Elara Plaza,JBR,55.13427,25.09198,mixed-use,planning,28,95,196,181104000,2024-11-11,2026-05-19,None,0
PRJ-0026,DEV-004,Sereno Boulevard,JBR,55.1107,25.07566,residential,under_construction,36,122,324,514188000,2023-01-06,2026-05-18,None,68
PRJ-0027,DEV-004,Vantage Gardens,JBR,55.13964,25.09661,residential,planning,25,85,250,596000000,2025-07-22,2028-03-11,None,0
PRJ-0028,DEV-004,Vista Heights,JBR,55.13515,25.06784,retail,under_construction,66,224,660,1089660000,2023-11-13,2027-02-20,LEED Gold,60
PRJ-0029,DEV-004,Aster Villas,JBR,55.15215,25.06977,hospitality,under_construction,75,255,675,525150000,2024-01-05,2027-03-01,Estidama 2P,38
PRJ-0030,DEV-004,Sereno Gardens,JBR,55.12043,25.05848,hospitality,handover,27,92,324,1171260000,2022-12-25,2026-04-18,Estidama 3P,23
PRJ-0031,DEV-005,Zenith Quarter,City Walk,55.28251,25.19391,residential,completed,52,177,624,1092000000,2022-10-30,2024-08-22,LEED Platinum,30
PRJ-0032,DEV-005,Cascade Plaza,City Walk,55.28145,25.23218,hospitality,planning,64,218,384,791040000,2022-04-07,2025-02-13,Estidama 2P,0
PRJ-0033,DEV-005,Oasis Terraces,City Walk,55.29153,25.19618,residential,under_construction,70,238,560,537600000,2024-04-01,2027-07-01,None,95
PRJ-0034,DEV-005,Rixos Bay,City Walk,55.26712,25.18853,mixed-use,under_construction,33,112,264,488664000,2022-05-30,2024-06-18,LEED Gold,78
PRJ-0035,DEV-005,Zenith Residences,City Walk,55.25882,25.19491,hospitality,planning,64,218,384,447744000,2022-06-07,2025-12-15,LEED Gold,0
PRJ-0036,DEV-005,Halo Heights,City Walk,55.28643,25.21966,residential,handover,37,126,259,467495000,2023-01-30,2024-10-14,Estidama 3P,44
PRJ-0037,DEV-005,Terra Court,City Walk,55.26957,25.20556,mixed-use,under_construction,72,245,864,1375488000,2022-04-18,2026-01-17,None,90
