campaign_id,title,type,status,owner,location,description,start_date,end_date,budget_aed,target_partners,reach,engagement_rate,projects_featured,progress_pct
CMP-001,Dubai Property Festival 2026,exhibition,completed,Partnerships Office,Dubai World Trade Centre,Global exhibition showcasing Dubai off-plan inventory to international investors.,2024-12-02,2024-12-10,2900000,14,668000,6,62,100
CMP-002,Golden Visa Investor Roadshow,initiative,completed,Marketing & Communications,Riyadh · Doha · Kuwait City,Joint roadshow promoting the property-linked Golden Visa across three GCC capitals.,2025-09-04,2025-12-06,3900000,18,1343000,7.4,44,100
CMP-003,Smart & Sustainable Homes Campaign,campaign,completed,Strategy & Innovation,Digital · Citywide,Co-branded campaign spotlighting energy-efficient developments and green certification.,2024-06-29,2024-08-01,2600000,8,1301000,7.8,24,100
CMP-004,Cityscape Global — Dubai Pavilion,exhibition,completed,Partnerships Office,Dubai Exhibition Centre,Unified DLD pavilion hosting participating developers under one national identity.,2025-05-06,2025-05-14,800000,14,550000,7.9,58,100
CMP-005,First-Time Buyer Enablement Programme,initiative,completed,Marketing & Communications,Citywide,Partnership programme easing entry for UAE-resident first-time property buyers.,2025-10-13,2025-12-09,1650000,20,921000,9.2,45,100
CMP-006,Ramadan Real Estate Offers,campaign,completed,Investor Relations,Digital,Seasonal joint promotion aggregating verified developer offers on one channel.,2025-11-08,2026-02-07,1400000,16,767000,3.5,48,100
CMP-007,MIPIM Cannes — Dubai Delegation,exhibition,completed,Partnerships Office,"Cannes, France",Dubai delegation to MIPIM targeting European institutional capital.,2024-11-12,2024-11-20,4050000,10,1730000,6.9,63,100
CMP-008,Off-Plan Transparency Initiative,initiative,completed,Events & Exhibitions,Citywide,Standardised disclosure pack for off-plan launches across participating developers.,2024-06-28,2024-09-05,3250000,8,1706000,5.2,19,100
CMP-009,Dubai Real Estate Week,exhibition,active,Strategy & Innovation,Madinat Jumeirah,"Week-long programme of launches, panels and investor briefings.",2026-05-24,2026-05-31,2250000,20,529000,3.5,19,57
CMP-010,Branded Residences Showcase,campaign,active,Investor Relations,Digital · International,Campaign positioning Dubai as the global capital of branded residences.,2026-05-27,2026-07-24,3900000,10,761000,7.2,12,42
CMP-011,PropTech Innovation Challenge,initiative,active,Partnerships Office,Area 2071,Developer-backed challenge sourcing proptech solutions for the emirate.,2026-05-09,2026-06-28,2300000,8,441000,4.9,5,26
CMP-012,Sustainable Communities Awards,initiative,active,Marketing & Communications,Museum of the Future,Annual recognition programme for low-carbon master communities.,2026-04-28,2026-06-04,3950000,15,220000,5,5,53
CMP-013,IPS London — Dubai Stand,exhibition,active,Events & Exhibitions,ExCeL London,International Property Show presence targeting UK and European buyers.,2026-04-16,2026-04-21,900000,16,841000,7.6,24,24
CMP-014,Rental Yield Awareness Drive,campaign,active,Events & Exhibitions,Digital,Data-led campaign communicating verified rental yield benchmarks.,2026-04-22,2026-07-25,1850000,14,40000,6.2,15,47
CMP-015,Family Communities Promotion,campaign,active,Strategy & Innovation,Digital · Citywide,Joint promotion of school-adjacent family master communities.,2026-04-19,2026-07-15,1100000,10,143000,4.6,14,34
CMP-016,Investor Confidence Summit,initiative,review,Partnerships Office,Atlantis The Royal,"Summit convening developers, lenders and regulators on market stability.",2026-07-29,2026-10-12,2200000,15,0,0,0,9
CMP-017,Digital Escrow Rollout,initiative,review,Strategy & Innovation,Platform,Phased rollout of digital escrow reconciliation with participating developers.,2026-07-07,2026-08-16,3450000,17,0,0,0,18
CMP-018,Real Estate Media Partnership,campaign,review,Investor Relations,Regional Media,Coordinated media buy amplifying developer launches under a DLD masthead.,2026-07-14,2026-10-04,1700000,20,0,0,0,16
CMP-019,Dubai South Growth Corridor,campaign,review,Marketing & Communications,Dubai South,Campaign spotlighting the logistics-and-aviation growth corridor.,2026-07-10,2026-09-03,2000000,20,0,0,0,10
CMP-020,Heritage District Revival,initiative,draft,Marketing & Communications,Al Shindagha,Partnership restoring and marketing heritage-adjacent residential stock.,2026-09-10,2026-10-15,3850000,19,0,0,0,0
CMP-021,Q3 Off-Plan Launch Window,campaign,draft,Marketing & Communications,Citywide,Synchronised Q3 launch window reducing developer launch-date collisions.,2026-09-10,2026-11-14,950000,14,0,0,0,0
CMP-022,Green Building Retrofit Alliance,initiative,draft,Partnerships Office,Citywide,Alliance funding retrofits across ageing residential towers.,2026-08-24,2026-10-10,3250000,8,0,0,0,0
