asset_id,title,campaign_id,type,file_type,size_mb,uploaded_date,downloads,access,language
AST-001,Dubai Property Festival — Brand Kit,CMP-001,brand-kit,ZIP,133.9,2026-03-22,934,all_partners,EN/AR
AST-002,Golden Visa Explainer — Bilingual,CMP-002,document,PDF,1.1,2026-06-01,148,all_partners,EN/AR
AST-003,DLD Partner Logo Suite,CMP-003,brand-kit,ZIP,168.6,2026-03-09,393,all_partners,EN/AR
AST-004,Sustainability Campaign — Key Visuals,CMP-004,image,PNG,15.4,2026-02-18,361,all_partners,EN/AR
AST-005,Investor Roadshow Deck (EN/AR),CMP-005,document,PPTX,23,2026-05-04,634,all_partners,EN/AR
AST-006,Cityscape Pavilion — Stand Guidelines,CMP-006,document,PDF,2.2,2025-12-15,891,all_partners,EN
AST-007,Dubai Skyline — Licensed Photography,CMP-007,image,JPG,21.3,2026-05-05,502,all_partners,EN
AST-008,Off-Plan Disclosure Template,CMP-008,document,DOCX,15.8,2026-03-14,939,all_partners,EN
AST-009,Real Estate Week — Motion Package,CMP-009,video,MP4,297.5,2026-04-24,271,all_partners,EN/AR
AST-010,Branded Residences — Social Cutdowns,CMP-010,video,MP4,295.2,2026-03-25,209,all_partners,EN
AST-011,Market Performance Report Q1 2026,CMP-011,report,PDF,0.5,2026-05-17,802,all_partners,EN
AST-012,Partner Co-Branding Guidelines,CMP-012,document,PDF,12,2025-12-03,804,approved_only,EN
AST-013,Rental Yield Infographic Set,CMP-013,image,SVG,17.9,2026-02-01,334,all_partners,EN
AST-014,MIPIM Delegation — Press Pack,CMP-014,document,PDF,18.2,2026-05-29,482,approved_only,EN/AR
AST-015,Family Communities — Lifestyle Reel,CMP-015,video,MP4,213.5,2025-09-16,741,approved_only,EN/AR
AST-016,Dubai South Corridor — Map Assets,CMP-016,image,PNG,12.8,2026-02-24,466,all_partners,EN/AR
AST-017,Escrow Rollout — Technical Spec,CMP-017,document,PDF,11.7,2026-03-26,653,all_partners,EN/AR
AST-018,Annual Partnership Review 2025,CMP-018,report,PDF,7.4,2025-11-21,156,all_partners,EN
AST-019,Arabic Typography Pack,CMP-019,brand-kit,ZIP,167.5,2025-10-18,566,all_partners,EN
AST-020,Heritage District — Archive Imagery,CMP-001,image,JPG,9.9,2026-05-10,146,all_partners,EN
AST-021,Investor Summit — Speaker Templates,CMP-002,document,PPTX,14.8,2026-06-02,863,all_partners,EN/AR
AST-022,Q3 Launch Window — Campaign Toolkit,CMP-003,brand-kit,ZIP,145.7,2026-06-06,69,all_partners,EN/AR
