month,registered_partners,active_partners,active_pct,requests_submitted,requests_approved,avg_approval_days,digital_pct,campaigns_launched,partnerships_active,satisfaction_partner,satisfaction_internal
2025-01,10,6,55.7,49,36,7.1,55.7,2,7,3.71,3.55
2025-02,11,6,52.5,65,48,6.8,58.7,3,8,3.73,3.43
2025-03,13,8,59.3,45,36,6.2,62.8,3,9,3.61,3.56
2025-04,13,7,57.4,57,42,6.8,65.7,1,10,3.79,3.63
2025-05,13,8,63,60,52,5.9,66.6,3,10,3.98,3.71
2025-06,15,10,63.8,37,30,5.8,66.2,2,10,3.9,3.61
2025-07,16,10,62.9,49,44,5.6,69.6,5,12,3.79,3.88
2025-08,17,11,66.1,77,69,5.3,75.3,3,14,4.07,3.73
2025-09,19,14,73.9,68,61,4.9,73.9,3,15,3.92,3.74
2025-10,20,14,72.2,72,66,4.8,76.2,1,15,4.07,3.77
2025-11,22,16,74.5,57,48,5,80.7,3,18,3.97,3.99
2025-12,24,19,80.2,76,56,4.3,80.9,5,21,4.14,3.99
2026-01,26,20,75.6,48,43,3.9,85,4,22,4.12,3.98
2026-02,28,22,79,56,44,4,89.1,1,25,4.17,4.1
2026-03,28,23,82.2,72,62,3.4,88,3,27,4.41,4.13
2026-04,28,24,85.4,78,61,3.4,92.7,4,28,4.29,4.14
2026-05,28,26,91.2,47,38,3.3,93.2,3,28,4.28,4.13
2026-06,28,25,89.8,88,77,2.5,96.5,1,29,4.33,4.36
